objectid,title,description,orthography,orthography_tone,ipa,part_of_speech,semantic_domain,tone_melody,syllable_structure,phonation_type,english,spanish,speaker,notes,object_location,format,display_template
katyi-04,kàtyi,say ,katyi,kàtyi,[kàt͡ʃi],verb (potential),Actions and activities,LM,CVCV,modal,say ,decir ,,,,,
katyi-05,katyi,wool,katyi,,[ka͡tʃi],noun,domesticated animals,,CVCV,modal,wool,lana,NGC,,objects/lana.wav,audio/wav,audio
katyi-ini-01,kǎtyi ini,be in a bad mood ,katyi ini,kǎtyi ini,[kǎt͡ʃi i᷈i],verb (potential),Actions and activities,RM MM,CVCCV VV,modal,be in a bad mood ,estar de mal humor,,,,,
katyinu-01,kàtyǐñu,work ,katyinu,kàtyǐñu,[kàt͡ʃi᷈̌u],verb (completive),social events and responsibilities,LRM,CVCCVV,modal,work ,nuu kixi,,,,,
katyinu-02,kátyíñu,work ,katyinu,kátyíñu,[kát͡ʃi᷈́u],verb (continuative),social events and responsibilities,HHM,CVCCVV,modal,work ,trabajar ,,,,,
katyinu-03,katyíñu,work ,katyinu,katyíñu,[kat͡ʃi᷈́u],verb (potential),social events and responsibilities,MHM,CVCCVV,modal,work ,trabajar ,,,,,
katyuun-01,kàtyǔun,work ,katyuun,kàtyǔun,[kàt͡ʃǔũ],verb (completive),social events and responsibilities,LRM,CVCCVV,modal,work ,trabajar ,,,,,
katyuun-02,kátyúun,work ,katyuun,kátyúun,[kát͡ʃúũ],verb (continuative),social events and responsibilities,HHM,CVCCVV,modal,work ,trabajar ,,,,,
katyuun-03,katyúun,work ,katyuun,katyúun,[kat͡ʃúũ],verb (potential),social events and responsibilities,MHM,CVCCVV,modal,work ,trabajar ,,,,,
kava-01,kāvà,to fold ,kava,kāvà,[kāβà],verb (potential),Actions and activities,ML,CVCV,modal,to fold ,doblar ,NGC,,objects/doblar_(comp).wav,audio/wav,audio
kava-02,kávà,to fold ,kava,kávà,[káβà],verb (completive),Actions and activities,HL,CVCV,modal,to fold ,doblar ,NGC,,objects/doblar_(cont).wav,audio/wav,audio
kava-03,kāvā,to fold ,kava,kāvā,[kāβā],verb (continuative),Actions and activities,MM,CVCV,modal,to fold ,doblar ,NGC,,objects/doblar_(pot).wav,audio/wav,audio
kava-04,kāvā,to bend ,kava,kāvā,[kāβā],verb (potential),Actions and activities,MM,CVCV,modal,to bend ,doblarse (una barrilla),NGC,,objects/doblarse_(pot).wav,audio/wav,audio
